description,business_tags,sector,category,niche,corect_label
"Avfall Norge is an organization that represents over 200 different companies in the Norwegian waste management, recycling, and recycled goods industry. They work with stakeholders such as IKS/municipalities, private waste companies, recycling companies, founders, suppliers, and advisors.","['Critical Raw Materials Re-use', 'Waste And Recycling', 'Non-profit Organization', 'Shared Knowledge and Dialogue', 'Industry', 'Research and Development', 'Panel Sessions', 'Circular Economy Consulting', 'Knowledge Exchange Platform', 'Afterwork Sessions', 'Waste Research and Development', 'Science Hub', 'Nordic Innovation']",Services,Garbage Collection & Waste Disposal,Hazardous Waste Treatment and Disposal,"['Waste Management Services', 'Recycling Services', 'Environmental Consulting']"
"Kalamazoo County Medical Control Authority (Kcmca) is a non-profit cooperative venture of Borgess Medical Center and Bronson Methodist Hospital, located in Kalamazoo, Michigan. It is a 501(c)3 organization.","['CPR2 BVM Documents', 'Training Protocols', 'Training and Briefings', 'Regional Medical Control Authority Network', 'Non-profit Cooperative', 'EMS Recruitment Video', 'Education Equipment Catalog', 'Reports & Forms', 'Life-saving EMS Services']",Services,Ambulances & Rescue Squads,Ambulance Services,"['Health Promotion Services', 'Training Services', 'Occupational Health Services']"
"Outdoor Air Coolers is a company that specializes in outdoor cooling rental services. They offer a cooling mist system that uses a refined filter mist to evaporate and lock the hot air away from the body, resulting in cooler surroundings. The mist is used by manual or programmable high-pressure pumps with minimum running cost and a complete line of commercial-grade pumps and nozzles to quickly cool without the need for wetness.",[],Manufacturing,Industrial Air Solutions,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables","['HVAC Installation and Service', 'Industrial Machinery Installation']"
"Kota Basent Vehicle Colony Aditya Nagar is a driver and vehicle licensing agency located in Modak, Rajasthan, India. They specialize in providing license and registration services for vehicles.","['Driver Licensing Services', 'License Acquisition Services', 'Vehicle Registration Services', 'Registration Services']",Services,Car Rental,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),"['Consulting Services', 'Legal Services']"
"Kitchener Mortgage Agent Alex Harun is a mortgage broker based in Kitchener, Canada. The company offers expert mortgage advice and services for purchases, refinancing, renewals, debt consolidation, and personal loans. They provide assistance with mortgage pre-approval, first-time buyers, self-employed individuals, new to Canada, investment properties, debt Consolidation, mortgage renewals and refinancing. The mortgage process is fast and easy, and Alex Haru is available to help clients select the right mortgage that fits their needs. The broker is part of a respected mortgage brokerage and aims to help Canadians achieve their homeownership dreams.","['Personal Loan Assistance', 'Mortgage Advice', 'Credit Improvement Services', 'Renovation Services', 'Vacation Home Assistance', 'First-time Home Buyer Assistance', 'Financial Services', 'Mortgage Pre Approvals', 'Debt Consolidation Services', 'Investment Property Assistance']",Services,Mortgage Brokers,Mortgage and Nonmortgage Loan Brokers,"['Financial Services', 'Consulting Services']"
"Xocolatl LLC is a luxury chocolatier based in Dubai that specializes in hand-made chocolates in a variety of flavors and tastes. They offer customized chocolate collections for special events and have an accessible location with an amazing collection of well-thought-out flavors. Customers have praised their attractive decorations and great taste, and have found Xocolatl to be the best chocolate shop in Dubai.","['Handmade Special Flavored Chocolate', 'Tray Collection', 'Luxury Chocolatiers', 'Customization Services', 'Retail', 'Customized Chocolates for Special Events', 'Wedding Collections', 'Variety of Flavors']",Retail,Bakeries & Desserts,Confectionery and Nut Retailers,"['Confectionery Manufacturing', 'Food Processing Services']"
"American Film Council is a production company that delivers distinctive productions in various geographic regions, including New York, Los Angeles, Miami, Atlanta, Columbia, Puerto Rico, Jamaica, and Mexico City. They work with a wide range of production companies to develop branded content and have experience conceiving productions for leading recording artists and entertainers. They have also served as the video commissioner for Interscope Records, managing budgets, project timelines, and crew for various productions. Additionally, they have fulfilled production requirements for music videos and commercials for various production companies such as D.N.A., H.S.I., Dick Clark Productions, Picture Park, FM Rocks, and Department of Film.","['Music Production for Commercials', 'Branded Content Production', 'Film Production', 'Directed Production Services', 'Project Timeline Management', 'Post-production Services', 'Video Commissioner Services', 'Crew Management Services', 'Product Placement Supervision']",Services,Video and Audio Production,Motion Picture and Video Production,"['Media Production Services', 'Content Creation Services', 'Advertising Services']"
"Shiv Shakti Oil & Lubricants is a leading manufacturer of automotive and industrial lubricants and greases that adhere to international environmental standards. The company is committed to providing high-quality and cost-effective products and services using environmentally friendly technologies to re-refine petroleum products. They are also dedicated to protecting the environment by providing safe hazardous waste management services, recycling/refining used lube oil, and manufacturing international quality lube Oil products using environmentally-friendly technologies and world-class quality meeting or exceeding the ISO standards. Shiv Shakti's Re-refining plant in Bhiwadi Distt is Alwar approved by government authorities and strives hard to save oil by re-fining and extracting oil. They offer a wide range of products and follow current international trends in the area of specialty lubricants. Quality is a top priority at Shiv Shakati Oil & Liquids with strict adherence to delivery schedules.","['Transboundary Movement Permit Management', 'Refining and Wholesaling Lubricant Products', 'Environmental Services', 'ISO Certification', 'Hazardous Waste Management Services', 'Grease Manufacturing', 'Environmentally Friendly Technologies', 'Lubricated Petroleum Gas Manufacturer', 'Logistics Training', 'Wheelchair Accessible Entrance']",Manufacturing,Oil & Gas - Extraction & Distribution,Petroleum Lubricating Oil and Grease Manufacturing,"['Chemical Manufacturing', 'Recycling Services', 'Waste Management Services']"
"Satra Company is a privately owned center in Iran that specializes in the manufacturing, repairing, and supplying of parts for rail brake systems. They are the largest and most well-equipped center in the country for this purpose. The company has been in operation since the 1980s and has expertise in braking systems for various types of trains, including freight cars, passenger wagons, locomotives, and metro lines. They have also developed technical know-how in producing components for Russian braking systems in freight cars and have obtained ISO standards for braking components. Satra Company offers a range of services according to international standards and is committed to providing high-quality products and services to their customers. They prioritize customer satisfaction and have established an ISO system and quality control unit to ensure compliance with international standards.","['Construction Services', 'Supply Services', 'Non-slip Parts Manufacturer for Railways', 'Repair Services', 'Air Valves Manufacturer', 'Passenger Car Test Machines Manufacturer', 'Rail Vehicle Brake Components Manufacturer/supplier', 'ISO System', 'Wagon Wheel Production', 'GM Locomotive Testing Equipment Manufacturer']",Manufacturing,Automobile Dealers & Manufacturers,Railroad Rolling Stock Manufacturing,"['Industrial Machinery Installation', 'Mechanical Engineering Services', 'Automotive Repair and Maintenance Services']"
"Medovka is a family estate owned by the Kurbashnov family, located in the Saratov region of Russia. The estate is situated in a sparsely populated village in the Khvalynsk district and offers a unique landscape among the endless flatlands of the Saratskoye region. The family has planted valuable trees on their plots and has brought bees with them, who collect nectar and pollen from early to late pollinators for the entire season. The honey produced by these bees is known for its unique composition throughout the whole season and is used in sweet pastries, tea, and unleavened bread as a treat or medicine. Medovka welcomes anyone who cares about their health and strives to live in harmony with nature and create their own fairy tale.","['Homemade Ice Cream', 'Clean and Ecological Products', 'Steppe Barrows', 'Family Estates', 'Sweet Pastries']",Manufacturing,Farms & Agriculture Production,All Other Miscellaneous Crop Farming,"['Food Processing Services', 'Farms & Agriculture Production', 'Bakery Production Services']"
"Three Tree Holding is a North American company that specializes in the long-term management and strategic investment of timberland assets. The company owns approximately 350,000 acres of forests in Oregon and Texas, which are managed sustainably by local partners and forest managers. The forests are primarily composed of Douglas fir and Loblolly pine, which grow primarily for lumber and pulp production. Three Tree Holding's forestry operations are certified, ensuring the safety and sustainability of their investments.","['Forestry Certification', 'Douglas Fir Lumber', 'Sustainable Forest Management', 'Timber Structures', 'Timberland Assets Management', 'Forest Management', 'Timberland Investments', 'Investment Managers', 'Douglas Fir', 'Sustainable Forestry']",Manufacturing,Timber & Wood Products,Timber Tract Operations,"['Timber Harvesting Operations', 'Wood Product Manufacturing']"
"T.M. Security is a security company based in India that provides a range of security services, including manned guards for events and security installations, 24-hour CCTV cameras, and online booking for services such as security guards, mobile video surveillance, house call, call center, lost and found, shopping mall security, ATM security and cash register security. The company is registered with the Directorate General of Income Tax. T. M. security is known for its prompt, courteous, safe, prompt service, as well as its car accident insurance coverage.","['Car Wash Services', '24-hour CCTV Surveillance System', 'Automotive Security Solutions', 'Automotive Detailing Services', 'Security Solutions Provider', 'Parking Lot Enforcement Services', 'Customer Support Services']",Services,Valet Services & Parking Lots,Parking Lots and Garages,"['Security Services', 'Electrical Installation Services']"
"Paralloy & Firth Vickers is a specialist materials and engineering company that focuses on providing solutions in stainless steel and nickel alloys. With roots in the UK's steel industry, the company takes pride in serving various challenging industries, including power generation, transportation, manufacturing, and critical chemical industries. They manufacture centrifugally cast tube and static products that are known for their reliability, providing exceptional value to customers. In the petrochemical industry, they offer world-class materials such as Optim-Al, an anti-coking alloy, designed for high operating performance and reliability in demanding conditions. For the aerospace industry, Paralloy is a leading manufacturer of high-quality compressor and exhaust casings, as well as critical centrifugal cast components for civil and defense aerospace. Their expertise in centrispun and static castings, heat-resistant and corrosion-resistant materials, shaped components, and split casings makes them a preferred choice for clients worldwide.","['Compressor and Exhaust Casing Manufacturer', 'Straightening Services', 'Anti-coking Alloy', 'CNC Turning Services', 'Design and Engineering Services', 'Turnkey Components', 'Nickel-based Products Manufacturer for Petrochemicals', 'Sawing Services Provider', 'Inspection and Reporting Services', 'Static Control Products Manufacturer', 'Materials Engineering', 'Deep Hole Boring and Drilling Services', 'Stainless Steels and Nickel Alloys', 'Static Cast Steel Products Manufacturer/supplier', 'Finish Bore', 'Gas Turbine Services', 'Complex Fabrications', 'Honing Services', 'Material Solutions Services', 'Corrosion-proof and Heat Resistant', 'Manufacturing Services', 'Shaped Components and Split Casing', 'Centrifugal Castings for High-temperature Furnace Applications', 'Centrifugal Cast Tube and Static Products', 'Faro Arm Capability']",Manufacturing,Scrap Metals,Iron Foundries,"['Metal Product Manufacturing', 'Industrial Machinery Installation', 'Chemical Manufacturing']"
HSS Marine Safety Services is a company that specializes in marine safety products and services. Their main focus is on ensuring the safety of their clients' lives.,"['Marine Safety Services', 'Lifeboat Davit', 'Life Saving Appliances', 'Safety Products']",Services,Safety Training,"All Other Professional, Scientific, and Technical Services","['Fire Safety Equipment Services', 'Testing and Inspection Services', 'Training Services']"
"Brûlerie Normande du Havre is a traditional coffee roasting company located in the Ste Cécile and Aplemont markets in Le Havre, France. They offer a wide selection of high-quality coffee blends, including filter coffee, Italian coffee, and espresso. The company prides itself on providing customers with a variety of coffee options that can be customized to fit their individual preferences. Customers have praised the quality and taste of their coffee, with some claiming it to be one of the best in the region. Brûleré Normande also offers a slow-roasted coffee that exudes all the flavors of coffee.","['Takeout Services', 'Coffee Filters', 'NFC Mobile Payments', 'Coffee Capsules', 'Coffee and Tea Production', 'Credit Card Payment', 'High-quality Assemblies', 'Italian Coffee', 'Controlled Origin Coffee']",Manufacturing,Beverages & Refreshments,Coffee and Tea Manufacturing,"['Coffee Processing Services', 'Food Processing Services']"
"CustomKitchensandBaths is a company that specializes in designing and building custom kitchens and bathrooms. They offer a variety of services, including custom countertops, bathroom vanities, vanities with granite countertops and backsplashes, custom vanities and countertops with granite tops, custom backsplash vanities for bathrooms, custom built-ins for kitchens, and custom vanishes and tile work. They also provide design services for bathroom vanettes and counter tops, as well as custom vanishing and tile installation. The company offers a range of products, including quartz countertops that are durable and scratch-resistant, and porcelain tile and grout that are easy to maintain. CustomKitchens&Baths aims to provide customers with high-quality products that are built to last.","['Domain Name Sales', 'Transaction Support', 'Secure Payments']",Services,Home Builders & Renovation Contractors,New Single-Family Housing Construction (except For-Sale Builders),"['Single Family Residential Construction', 'Single Family Renovation Services', 'Tile Installation Services', 'Interior Design Services']"
"Anhui Zhongxin Electric Co., Ltd. is a high-tech enterprise that specializes in the research and development, production, and sales of new-type electrical protection equipment for power systems, voltage protection equipment, automation equipment, station assembly equipment, special switches, electronic components, communication equipment, mechanical equipment, high-low voltage switch cabinets, and accessories. The company also provides technical transfer, technical consulting, and technical services. Their products include KGX-Y voltage suppression cabinets, KGD three-phase composite voltage protectors, Kggkz-5 intelligent control series, KGFMB electric motor inverter, KGTBP three-dimensional composite voltage protection devices, KGBD large capacity three-sided composite voltage protector, Kkgctb CT second-phase voltage protector, HY5W series electrolytic current transformers, and Kg200Y power instrumentation.","['Automation Equipment', 'Technical Consulting', 'Research and Development', 'KGI-220V Power Transmitter', 'Technology Transfer', 'Stationary Equipment', 'Manufacturing and Sales', 'Technical Services']",Manufacturing,Electric Supplies & Power Generation,All Other Miscellaneous Electrical Equipment and Component Manufacturing,"['Commercial Electrical Services', 'Industrial Machinery Installation', 'Technology Consulting', 'Consulting Services']"
"TP Material Co.,Ltd. is a company based in the Sai Noi District of Nonthaburi Province, Thailand. It operates within the construction and maintenance sector.","['Construction Materials Supplier', 'Construction and Maintenance Services', 'Wheelchair Accessible Restroom', 'Unisex Toilets']",Services,Construction Services,Commercial and Institutional Building Construction,['Commercial Construction Services']
"Aladiner Cherag is a company that offers a variety of food and beverage products, including fruits, vegetables, meat, fish, and breakfast items. They also provide personal care, home and kitchen products, pet care, beauty care, premium care, and recipes, as well as hand wash and hand sanitizer services. Their best-selling products include tomato sauce and biscuits.","['Fruit And Vegetables', 'Hand Wash Products', 'Meats & Fish', 'Beauty Products Supplier Services', 'Food Products', 'Tomato Sauce', 'Personal Care Products', 'Vegetable Products', 'Mens Care', 'Premium Care Products', 'Kitchen Products', 'Breakfast Items', 'Pet Supplies Retailer', 'Biscuit']",Manufacturing,Dairy Products - Farms & Stores,Fluid Milk Manufacturing,"['Meat Processing Services', 'Seafood Processing Services', 'Dairy Production Services', 'Food Processing Services', 'Pet Food Manufacturing', 'Cosmetic Manufacturing', 'Soap Production Services']"
"Candor Eeg is a medical care company located in Baytown, Texas that specializes in providing accurate diagnostics tests for patient care. They offer routine EEG services, including ambulatory EEGs, and provide evening coverage for hospitals and doctors' offices. The company is staffed by ABRET Registered Electroencephalographic Technologists (R.Eeg.T), licensed vocational nurses (Lvn), and certified cardiographic technicians (CCT) who guarantee exceptional patient care and thorough analysis. Their areas of specialty include neurology and cardiology. They also offer Holter monitoring, application, scanning, and analysis services for third-party Holter monitoring companies.","['Stress Tests', 'Hyperventilation', 'Holter Monitor Service', 'Licensed Vocational Nurses', 'Diagnostic Tests', 'EEG and Ambulatory EEG Services', 'Healthcare Services', 'Medical Diagnostics', 'Cardiac Evaluations Including EKG']",Services,Radiology Clinic,Diagnostic Imaging Centers,"['Laboratory Services', 'Health and Safety Consulting']"
"REKA Vertrieb Deutschland is a company based in Waltrop, North Rhine-Westphalia, Germany. It operates as a supplier of cleaning products and provides shipping services.","['Cleaning Equipment Supplier', 'Retail', 'Microfiber Cleaning Products', 'Wholesale', 'Auto Care Products Supplier', 'Microfiber Cloths', 'Hygiene Products', 'Floor Care Sets', '3D POWER Tote Bags', 'Online Ordering Service', 'Window Cleaners', 'E-commerce', 'Floor Care Products', 'Hygienic Cleaning', 'Household Aids', 'Cleaning Gloves', 'Carpet Manufacturer', 'Hand Cleaning Tools', 'Shipping Services']",Wholesale,Cleaning Equipment & Supplies,Service Establishment Equipment and Supplies Merchant Wholesalers,"['Building Cleaning Services', 'E-Commerce Services', 'Logistics Services']"
